"RGB Hex","RGB Hex3","HSL","RGB","HTML Keyword"
"#73c6e6","#7ce","hsl(196,69,67)","rgb(115,198,230)","skyblue"
"#e56534","#e63","hsl(16,77,55)","rgb(229,101,52)","chocolate"
"#8cc63f","#9c4","hsl(85,54,51)","rgb(140,198,63)","yellowgreen"
